2016-04-29 09:38:56.599 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R3C1,Evaporator Water Pump Running Time Pump 1
2016-04-29 09:38:56.600 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R3C2,Evaporator Water Pump Running Time Pump 2
2016-04-29 09:38:56.600 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R3C3,Blank
2016-04-29 09:38:56.804 INFO  - com.trane.display.utils.BaseActions: ready to verify page 3.
2016-04-29 09:38:56.804 INFO  - com.trane.display.utils.BaseActions: find element By xpath://span[contains(@id,'PageNum')]
2016-04-29 09:38:56.804 INFO  - com.trane.display.utils.BaseActions: getElement method - get the WebElement by locatorName: PageNum
2016-04-29 09:38:56.805 INFO  - com.trane.display.utils.BaseActions: currentPageNum: 2
2016-04-29 09:38:56.805 INFO  - com.trane.display.utils.BaseActions: need click movedown button 1 times to get the expected page.
2016-04-29 09:38:56.805 INFO  - com.trane.display.utils.BaseActions: find element By id:moveDown
2016-04-29 09:38:56.806 INFO  - com.trane.display.utils.BaseActions: getElement method - get the WebElement by locatorName: btn_Down
2016-04-29 09:38:56.806 INFO  - com.trane.display.utils.BaseActions: click btn_Down
2016-04-29 09:38:57.869 INFO  - com.trane.display.utils.BaseActions: D:\Git\TestGradle\src\test\resources\com\trane\display\cases\data\BaseConfigEvap_Ckt1.csv
2016-04-29 09:38:57.872 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R1C1,Free Cooling Capacity
2016-04-29 09:38:57.873 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R1C2,Free Cooling Valve Percent Open
2016-04-29 09:38:57.873 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R1C3,Free Cooling Bypass Valve Percent Open
2016-04-29 09:38:57.873 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R2C1,Free Cooling Entering Water Temperature
2016-04-29 09:38:57.874 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R2C2,Blank
2016-04-29 09:38:57.875 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R2C3,Blank
2016-04-29 09:38:57.875 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R3C1,Blank
2016-04-29 09:38:57.875 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R3C2,Blank
2016-04-29 09:38:57.876 INFO  - com.trane.display.utils.CSVutils: 3,idLbl_pgSubcomponentReport_R3C3,Blank
2016-04-29 09:38:58.044 INFO  - com.trane.display.utils.TestNGListener: f--Test method success

2016-04-29 09:38:58.046 INFO  - com.trane.display.utils.TestNGListener: Test Finish

